index,total,onset,offset,precision,recall,f1,der,work_dir
7194,9801,0.73,0.66,0.696664633688031,0.4807727787639007,0.5689260223305557,0.7285609234324373,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p73_offset_0p66
4715,9801,0.48,0.62,0.5839999999999997,0.5545747284668008,0.5689071315691955,0.8404648041396876,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p62
8171,9801,0.83,0.53,0.6993083964680579,0.47946737778758935,0.5688877739807814,0.7266960479575654,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p83_offset_0p53
7492,9801,0.76,0.67,0.7047706382838933,0.4769246965346208,0.5688818647010716,0.7228596958563779,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p76_offset_0p67
4719,9801,0.48,0.66,0.5843635426026486,0.5541968153065322,0.5688805376753922,0.8399831501118943,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p66
4716,9801,0.48,0.63,0.5840222919496088,0.554448757413378,0.5688514156848461,0.8404648041396876,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p63
7491,9801,0.76,0.66,0.7035597754870271,0.4774242903224338,0.5688417587261471,0.7237352539581624,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p76_offset_0p66
6676,9801,0.68,0.43,0.6275011083699811,0.5202034969001267,0.5688367361843004,0.7886010987136,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p68_offset_0p43
7073,9801,0.72,0.44,0.6468150711446404,0.5076250426838094,0.5688290352445612,0.7695569875187435,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p72_offset_0p44
7894,9801,0.8,0.73,0.72775099914524,0.46686587827855797,0.5688218805626464,0.7077869480917304,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p80_offset_0p73
7294,9801,0.74,0.67,0.6993995761612318,0.479327772220149,0.5688196531512242,0.7266862666757702,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p67
